,name,description,category,img_urls
5320,Americana botoni,Americana crop botones,chaquetas y americanas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37074399_40_D1.jpg?ts=1658916538447
5324,Abrigo srapots,Abrigo jaspeado textura,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37095946_02-99999999_01.jpg?ts=1659347324418
5325,Blusa sixty,Camisa cuadros lazo,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37004038_99_D5.jpg?ts=1655275875963
5326,Jersey broco,Jersey detalles lurex,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37009103_99_D1.jpg?ts=1665398027354
5327,Mono smile,Mono largo cinturón,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37033843_37-99999999_01.jpg?ts=1657705811483
5328,Mono smile,Mono largo cinturón,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37033843_85-99999999_01.jpg?ts=1657540147061
5329,Zapato dova,Zapato vinilo tacón,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37046309_99-99999999_01.jpg?ts=1668159178357
5330,Zapato dova,Zapato vinilo tacón,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37046309_88-99999999_01.jpg?ts=1666339366979
5334,Jeans elodi,Jeans wideleg tiro medio,vaqueros,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37035142_TO-99999999_01.jpg?ts=1660029113151
5335,Vestido oro-a,Vestido detalle cadena,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37061312_05-99999999_01.jpg?ts=1654595329817
5336,Abrigo tabardo,Abrigo algodón pata de gallo,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37036719_02_D2.jpg?ts=1663834522363
5339,Jeans anne,Jeans skinny tiro alto ,vaqueros,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37094001_BB-99999999_01.jpg?ts=1657015882392
5340,Jersey pijama isabela,Jersey punto pijama,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37078255_05_D2.jpg?ts=1663247672021
5341,Falda harper,Falda satinada estampada,faldas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37052884_61-99999999_01.jpg?ts=1655115216526
5342,Jersey lotus,Jersey punto oversize,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37013848_99-99999999_01.jpg?ts=1656679863972
5343,Jersey lotus,Jersey punto oversize,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37013848_23-99999999_01.jpg?ts=1656584036545
5344,Camiseta waffle,Cárdigan botones textura,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37025967_99_D4.jpg?ts=1661332092464
5345,Cardigan nevada,Cardigan punto oversize,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T2/fotos/outfit/S20/27050482_05-99999999_01.jpg?ts=1636642125105
5346,Cardigan nevada,Cardigan punto oversize,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T2/fotos/outfit/S20/27050482_09-99999999_01.jpg?ts=1637661314101
5347,Shorts zaida,Short vaquero recto,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37000327_TM_D7.jpg?ts=1654600114627
5348,Americana peter,Americana traje lana,chaquetas y americanas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37095957_43-99999999_01.jpg?ts=1661345795234
5349,Camiseta second,Camiseta manga larga cuello alto,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37064756_99_D2.jpg?ts=1657014710589
5350,Camiseta second,Camiseta manga larga cuello alto,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37064756_07_D2.jpg?ts=1660913786070
5351,Camiseta second,Camiseta manga larga cuello alto,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37064756_30_D2.jpg?ts=1655913117890
5352,Camiseta second,Camiseta manga larga cuello alto,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37064756_96_D2.jpg?ts=1656924749201
5353,Camiseta second,Camiseta manga larga cuello alto,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37064756_32_D2.jpg?ts=1663318340584
5354,Vestido nicely,Vestido pata de gallo,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37023841_99_D6.jpg?ts=1660828214979
5355,Falda elif,Falda punto fruncido,faldas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37087880_05-99999999_01.jpg?ts=1664294042409
5356,Camiseta kika,Camiseta detalle plumas,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37009003_99_D2.jpg?ts=1665999178759
5357,Blusa blulinda,Blusa plisada estampada,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37095966_05_D2.jpg?ts=1662658616428
5358,Blusa blulinda,Blusa plisada estampada,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37095966_52_D2.jpg?ts=1662658616428
